company_name,country,Line_of_business,company_size,date,revenue_type,revenue_stream,currency,fiscal_year,fiscal_quarter,region,payment_method,transaction_amount,transaction_date,transaction_status,Loan_ID,loan_status,Principal_amount,terms,effective_date,due_date,paid_off_time,past_due_days,Loan_flag,product_name,product_category,product_price,quality_category,Import percentage,export percentage
Oliver LLC,South Georgia and the South Sandwich Islands,Healthcare,Large,1980-08-07,Product Sales,Offline,USD,2023,2,North America,PayPal,784.89,1999-09-23,Failed,0c500885-b241-49fe-bc29-4fbaba6836fb,Pending,54804.95,48,1996-06-22,2020-04-08,1997-10-30,25,No,Chair,Furniture,881.54,Low,14.81,71.22
Luna-Brewer,Tuvalu,Technology,Medium,2019-10-05,Product Sales,Online,USD,2021,2,Asia,Bank Transfer,514.65,2020-09-01,Failed,1dd5e673-7fbf-483b-93e0-b7868683fd97,Approved,10469.56,47,2005-09-03,2000-05-14,1977-07-06,28,No,Pants,Clothing,492.67,Medium,1.33,75.89
"Avila, King and Ingram",Saint Barthelemy,Healthcare,Small,2000-08-07,Product Sales,Online,USD,2020,2,North America,PayPal,2815.59,1992-12-14,Pending,ddc1d751-1d43-4417-99b0-547ee8da1906,Rejected,30186.14,60,1992-12-24,1994-05-06,1994-07-20,6,Yes,Iron,Household Items,960.7,Medium,91.77,75.64
Jones Group,Gambia,Technology,Medium,1984-04-27,Subscription,Online,USD,2022,3,Asia,Credit Card,6883.09,1984-01-31,Pending,1f25c0df-4a49-4db6-abe1-adaf49ab5d97,Rejected,27250.61,8,2007-01-11,2024-06-19,2013-06-11,25,No,Novel,Books,85.64,Medium,18.23,91.84
Oliver LLC,Lesotho,Finance,Large,1976-10-04,Product Sales,Offline,USD,2023,2,Africa,Credit Card,2144.0,1985-08-13,Completed,e996d8f6-2e07-4638-8e3f-1f672a8b2b4d,Pending,89511.95,14,2006-03-27,1972-09-29,2000-12-07,19,No,Table,Furniture,673.79,High,86.66,74.73
Luna-Brewer,Japan,Finance,Medium,2012-07-07,Product Sales,Online,USD,2018,4,Europe,Bank Transfer,8366.52,2022-04-29,Pending,ba881bda-c747-4895-963a-c741a73fe3b9,Pending,36597.53,35,1988-09-27,1995-12-08,1999-02-21,11,No,Toaster,Household Items,991.8,Medium,63.24,55.13
Walker-Olson,Croatia,Manufacturing,Small,1995-03-27,Product Sales,Online,USD,2022,4,Europe,PayPal,6071.24,1984-05-19,Pending,de0d2b2b-4b3c-46de-ac66-e00a388d7a32,Pending,95396.89,29,1986-06-08,2001-12-11,1979-09-27,22,No,Jacket,Clothing,100.32,Medium,70.61,10.73
Luna-Brewer,South Georgia and the South Sandwich Islands,Finance,Small,1992-11-26,Product Sales,Offline,USD,2021,3,Australia,PayPal,4395.1,2015-05-05,Completed,0109b379-50d0-44cd-bd8a-5302c238b738,Pending,83090.66,54,1987-04-23,1971-06-28,2004-12-08,17,Yes,Bed,Furniture,931.86,High,63.49,54.3
Vasquez Group,Lesotho,Finance,Large,1994-10-30,Subscription,Offline,USD,2018,3,North America,PayPal,2042.43,1971-07-23,Completed,ce2abb0c-2e5b-4f60-bc3a-593cc50bd2b3,Approved,47273.94,57,1976-12-07,1982-08-12,1986-01-25,23,No,Smartphone,Electronics,606.35,Low,86.26,31.33
Oliver LLC,Gambia,Manufacturing,Small,1987-06-30,Product Sales,Online,USD,2022,1,North America,Bank Transfer,5176.89,2016-07-21,Pending,c51606d7-2042-44f9-8fa0-ba25f07c4253,Rejected,86847.82,10,1975-12-21,1986-01-22,1998-02-20,30,Yes,Toaster,Household Items,991.8,Medium,60.31,58.34
Vasquez Group,Lesotho,Healthcare,Small,1993-03-22,Product Sales,Online,USD,2023,4,Europe,Bank Transfer,5098.28,2019-06-13,Completed,af009695-dd01-4765-9600-1da18dabcce9,Pending,69690.14,27,2024-01-17,1974-04-08,1997-12-26,0,Yes,Table,Furniture,673.79,Medium,37.21,50.13
Marshall-Cameron,Pakistan,Technology,Small,1974-03-25,Subscription,Offline,USD,2020,3,North America,Bank Transfer,7307.12,1984-09-03,Pending,2c8e0150-568e-44fa-b97f-c688e248a027,Approved,29013.91,15,1985-05-24,1982-08-18,1973-12-16,12,Yes,Cabinet,Furniture,689.9,High,49.31,60.76
